,player,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
130,Seiya Suzuki,0.34615384615384615,0.15384615384615385,0.057692307692307696,0.0
131,Shohei Ohtani,0.39344262295081966,0.19672131147540983,0.06557377049180328,0.01639344262295082
132,Spencer Horwitz,0.2631578947368421,0.10526315789473684,0.02631578947368421,0.0
133,Spencer Steer,0.1864406779661017,0.0847457627118644,0.03389830508474576,0.0
134,Spencer Torkelson,0.2857142857142857,0.14285714285714285,0.09523809523809523,0.0
135,Steven Kwan,0.22388059701492538,0.04477611940298507,0.0,0.0
136,TJ Friedl,0.28846153846153844,0.11538461538461539,0.038461538461538464,0.0
137,Taylor Walls,0.12727272727272726,0.03636363636363636,0.0,0.0
138,Taylor Ward,0.22330097087378642,0.04854368932038835,0.02912621359223301,0.009708737864077669
139,Teoscar Hernandez,0.39655172413793105,0.15517241379310345,0.06896551724137931,0.034482758620689655
140,Travis Jankowski,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0
141,Trent Grisham,0.25,0.1111111111111111,0.0,0.0
142,Trevor Larnach,0.22807017543859648,0.10526315789473684,0.05263157894736842,0.0
143,Trey Sweeney,0.28205128205128205,0.07692307692307693,0.0,0.0
144,Triston Casas,0.25,0.1111111111111111,0.08333333333333333,0.0
145,Ty France,0.19298245614035087,0.03508771929824561,0.0,0.0
146,Tyler Fitzgerald,0.26,0.06,0.02,0.0
147,Victor Robles,0.18181818181818182,0.12121212121212122,0.0,0.0
148,Vinnie Pasquantino,0.4146341463414634,0.14634146341463414,0.024390243902439025,0.024390243902439025
149,Vladimir Guerrero Jr.,0.3793103448275862,0.13793103448275862,0.034482758620689655,0.017241379310344827
150,Will Smith,0.3137254901960784,0.058823529411764705,0.0196078431372549,0.0
151,Willi Castro,0.203125,0.0625,0.015625,0.0
152,Willson Contreras,0.30434782608695654,0.10869565217391304,0.043478260869565216,0.0
153,Willy Adames,0.3559322033898305,0.11864406779661017,0.0847457627118644,0.03389830508474576
154,Wyatt Langford,0.2708333333333333,0.10416666666666667,0.041666666666666664,0.020833333333333332
155,Xander Bogaerts,0.34,0.08,0.02,0.0
156,Xavier Edwards,0.21428571428571427,0.05357142857142857,0.017857142857142856,0.0
157,Yandy Diaz,0.28440366972477066,0.11009174311926606,0.03669724770642202,0.0
158,Yordan Alvarez,0.3617021276595745,0.14893617021276595,0.06382978723404255,0.02127659574468085
159,Zack Gelof,0.225,0.05,0.025,0.025
