,player,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over
112,Michael A. Taylor,0.11627906976744186,0.023255813953488372,0.023255813953488372,0.0
113,Michael Massey,0.2962962962962963,0.05555555555555555,0.0,0.0
114,Michael Toglia,0.35,0.175,0.075,0.05
115,Mike Yastrzemski,0.2727272727272727,0.06818181818181818,0.0,0.0
116,Noelvi Marte,0.3333333333333333,0.18181818181818182,0.06060606060606061,0.030303030303030304
117,Oneil Cruz,0.47368421052631576,0.10526315789473684,0.0,0.0
118,Oswaldo Cabrera,0.275,0.1,0.025,0.025
119,Ozzie Albies,0.35294117647058826,0.0,0.0,0.0
120,Pavin Smith,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.0
121,Ramon Laureano,0.3170731707317073,0.07317073170731707,0.024390243902439025,0.0
122,Randy Arozarena,0.38636363636363635,0.09090909090909091,0.0,0.0
123,Riley Greene,0.3617021276595745,0.14893617021276595,0.06382978723404255,0.02127659574468085
124,Ryan Jeffers,0.3333333333333333,0.16666666666666666,0.05555555555555555,0.0
125,Ryan McMahon,0.28125,0.0625,0.03125,0.0
126,Ryan O'Hearn,0.26881720430107525,0.16129032258064516,0.043010752688172046,0.0
127,Sal Frelick,0.21052631578947367,0.05263157894736842,0.0,0.0
128,Salvador Perez,0.46551724137931033,0.22413793103448276,0.05172413793103448,0.0
129,Santiago Espinal,0.2894736842105263,0.07894736842105263,0.0,0.0
130,Seiya Suzuki,0.4339622641509434,0.22641509433962265,0.09433962264150944,0.03773584905660377
131,Shohei Ohtani,0.4489795918367347,0.22448979591836735,0.061224489795918366,0.061224489795918366
132,Spencer Horwitz,0.35135135135135137,0.10810810810810811,0.02702702702702703,0.0
133,Spencer Steer,0.45454545454545453,0.1590909090909091,0.022727272727272728,0.022727272727272728
134,Spencer Torkelson,0.525,0.2,0.05,0.0
135,Steven Kwan,0.28205128205128205,0.10256410256410256,0.05128205128205128,0.02564102564102564
136,TJ Friedl,0.42857142857142855,0.19047619047619047,0.047619047619047616,0.023809523809523808
137,Taylor Walls,0.2,0.022222222222222223,0.022222222222222223,0.0
138,Taylor Ward,0.2717391304347826,0.05434782608695652,0.010869565217391304,0.0
139,Teoscar Hernandez,0.46153846153846156,0.23076923076923078,0.1282051282051282,0.02564102564102564
140,Travis Jankowski,0.0625,0.03125,0.0,0.0
141,Trent Grisham,0.35135135135135137,0.1891891891891892,0.10810810810810811,0.05405405405405406
