,home_player,home_RBI,away_team,games_played,home_AB,home_BB,home_K
6129,Adolis Garcia,2.0,SEA,1,4.0,0.0,1.0
6130,Jung Hoo Lee,1.0,SEA,1,3.0,1.0,0.0
6131,Blaine Crim,0.0,SEA,1,2.0,1.0,2.0
6132,,8.0,SEA,1,33.0,4.0,7.0
6133,,,SEA,1,,,
6134,Mike Yastrzemski,2.0,COL,1,4.0,1.0,0.0
6135,Willy Adames,3.0,COL,1,5.0,0.0,2.0
6136,Jung Hoo Lee,1.0,COL,1,3.0,0.0,1.0
6137,Matt Chapman,0.0,COL,1,4.0,0.0,2.0
6138,Wilmer Flores,2.0,COL,1,4.0,0.0,1.0
6139,LaMonte Wade Jr.,1.0,COL,1,4.0,0.0,0.0
6140,Luis Matos,0.0,COL,1,4.0,0.0,0.0
6141,Patrick Bailey,0.0,COL,1,4.0,0.0,1.0
6142,Christian Koss,0.0,COL,1,4.0,0.0,0.0
6143,,9.0,COL,1,36.0,1.0,7.0
6144,,,COL,1,,,
6145,Zach Neto,1.0,DET,1,5.0,0.0,1.0
6146,Nolan Schanuel,0.0,DET,1,3.0,0.0,1.0
6147,Niko Kavadas,0.0,DET,1,1.0,0.0,0.0
6148,Jorge Soler,0.0,DET,1,3.0,1.0,0.0
6149,Taylor Ward,0.0,SFG,1,3.0,0.0,1.0
6150,Gustavo Campero,0.0,DET,1,1.0,0.0,0.0
6151,Logan O'Hoppe,0.0,DET,1,2.0,1.0,1.0
6152,Luis Rengifo,0.0,DET,1,3.0,1.0,2.0
6153,Jo Adell,0.0,DET,1,4.0,0.0,2.0
6154,Kyren Paris,0.0,DET,1,3.0,1.0,3.0
6155,Tim Anderson,0.0,DET,1,4.0,0.0,1.0
6156,,1.0,DET,1,32.0,4.0,12.0
6157,,,DET,1,,,
6158,Matt McLain,0.0,WSN,1,3.0,1.0,1.0
6159,Santiago Espinal,0.0,WSN,1,4.0,0.0,1.0
6160,Elly De La Cruz,0.0,WSN,1,3.0,1.0,1.0
6161,Noelvi Marte,0.0,WSN,1,4.0,0.0,2.0
6162,Spencer Steer,0.0,WSN,1,4.0,0.0,1.0
6163,Tyler Stephenson,1.0,WSN,1,3.0,1.0,1.0
6164,Gavin Lux,0.0,WSN,1,4.0,0.0,3.0
6165,Jose Trevino,0.0,WSN,1,4.0,0.0,1.0
6166,Blake Dunn,0.0,WSN,1,2.0,1.0,2.0
6167,,1.0,WSN,1,31.0,4.0,13.0
6168,,,WSN,1,,,
6169,Lars Nootbaar,0.0,NYM,1,4.0,1.0,0.0
6170,Masyn Winn,0.0,NYM,1,1.0,1.0,0.0
6171,Jose Barrero,0.0,NYM,1,3.0,0.0,1.0
6172,Brendan Donovan,0.0,NYM,1,3.0,0.0,0.0
6173,Nolan Arenado,1.0,NYM,1,4.0,0.0,1.0
6174,Willson Contreras,1.0,NYM,1,4.0,0.0,2.0
6175,Alec Burleson,2.0,NYM,1,4.0,0.0,1.0
6176,Yohel Pozo,0.0,NYM,1,4.0,0.0,0.0
6177,Jordan Walker,0.0,NYM,1,4.0,0.0,2.0
6178,Victor Scott II,1.0,LAA,1,3.0,1.0,2.0
6179,,5.0,LAA,1,34.0,3.0,9.0
6180,Alex Verdugo,0.0,LAD,1,3.0,1.0,0.0
6181,Austin Riley,4.0,LAD,1,4.0,0.0,0.0
6182,Marcell Ozuna,0.0,LAD,1,3.0,0.0,1.0
6183,Matt Olson,0.0,LAD,1,4.0,0.0,1.0
6184,Ozzie Albies,0.0,LAD,1,3.0,1.0,0.0
6185,Ozzie Albies,0.0,ATH,1,3.0,1.0,0.0
6186,Michael Harris II,0.0,LAD,1,4.0,0.0,0.0
6187,Eli White,0.0,LAD,1,4.0,0.0,3.0
6188,Drake Baldwin,0.0,BAL,1,3.0,0.0,0.0
6189,Nick Allen,0.0,LAD,1,3.0,0.0,2.0
6190,,4.0,LAD,1,31.0,2.0,7.0
