away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
A. Bohm3B,3,0,0,0,0,1,2,.297,.349,.484,C. BellingerRF,4,1,2,1,0,0,1,.270,.329,.421
B. MarshLF,3,0,0,0,0,1,2,.266,.349,.420,S. SuzukiDH,4,1,2,3,1,0,2,.262,.332,.468
N. CastellanosRF,3,1,1,0,0,1,1,.232,.291,.385,I. HappLF,4,0,0,0,0,0,3,.226,.341,.413
K. Clemens1B,4,1,1,0,0,0,0,.250,.278,.558,C. Morel3B,4,0,0,0,0,0,2,.195,.304,.370
D. DahlDH,4,0,0,0,0,0,4,.231,.268,.442,D. SwansonSS,4,0,0,0,0,0,0,.214,.289,.359
G. StubbsC,4,0,1,2,0,0,1,.217,.280,.272,P. Crow-ArmstrongCF,3,0,0,0,0,0,0,.188,.238,.271
J. RojasCF,4,0,1,0,0,0,1,.234,.272,.297,T. NidoC,1,0,0,0,0,1,0,.063,.118,.125
team,35,6,9,6,2,3,11,,,,aM. MastrobuoniPH,1,0,0,0,0,0,0,.146,.226,.167
,,,,,,,,,,,M. AmayaC,0,0,0,0,0,0,0,.189,.253,.260
,,,,,,,,,,,team,32,4,5,4,1,2,9,,,
L. Arraez1B,3,0,0,0,0,0,0,.320,.348,.393,M. Semien2B,5,0,1,1,0,0,3,.234,.298,.382
T. Wade2B,1,0,0,0,0,0,0,.232,.311,.253,J. SmithSS,3,2,1,0,0,1,1,.291,.386,.450
J. ProfarLF,3,0,0,0,0,0,0,.311,.404,.472,N. Lowe1B,4,2,2,4,2,0,0,.269,.352,.399
E. Rosario3B,1,0,0,0,0,0,0,.245,.286,.528,A. GarcíaRF,4,0,1,0,0,0,1,.221,.285,.426
J. Cronenworth2B,3,0,0,0,0,0,0,.257,.321,.433,W. LangfordLF,3,0,1,0,0,1,2,.261,.325,.394
D. PeraltaLF,0,0,0,0,0,0,0,.207,.303,.241,J. HeimC,4,1,1,0,0,0,0,.233,.284,.341
M. MachadoDH,3,0,0,0,0,0,3,.265,.315,.405,D. HillDH,4,0,0,0,0,0,1,.259,.310,.593
D. Solano3B-1B,3,0,1,0,0,0,0,.278,.349,.383,L. TaverasCF,3,2,2,1,0,1,0,.224,.297,.338
J. MerrillCF,3,0,0,0,0,0,2,.291,.325,.459,J. Ornelas3B,2,0,1,1,0,1,0,.333,.500,.667
H. KimSS,3,0,0,0,0,0,1,.226,.333,.384,team,32,7,10,7,2,4,8,,,
K. HigashiokaC,3,0,0,0,0,0,1,.198,.236,.515,,,,,,,,,,,
B. JohnsonRF,3,0,1,0,0,0,0,.190,.292,.238,,,,,,,,,,,
team,29,0,2,0,0,0,7,,,,,,,,,,,,,,
Y. Diaz1B,5,0,1,0,0,0,0,.270,.325,.384,M. Garcia2B,4,0,1,0,0,0,0,.229,.281,.338
B. LoweDH,4,2,1,1,1,1,1,.220,.322,.455,B. Witt Jr.SS,4,1,1,1,1,0,1,.311,.362,.539
I. Paredes3B,4,0,1,2,0,1,2,.276,.362,.473,V. Pasquantino1B,4,0,0,0,0,0,1,.244,.318,.431
J. LoweRF,5,1,1,0,0,0,1,.224,.289,.414,S. PerezC,4,0,0,0,0,0,0,.278,.346,.467
R. ArozarenaLF,5,0,1,0,0,0,1,.196,.305,.353,M. MasseyDH,4,0,0,0,0,0,1,.283,.299,.517
R. Palacios2B,4,1,3,1,0,0,0,.251,.345,.348,H. RenfroeRF,3,0,0,0,0,0,1,.210,.288,.385
J. SiriCF,3,0,1,0,0,1,1,.214,.295,.415,M. MelendezLF,3,0,3,0,0,0,0,.191,.258,.366
B. RortvedtC,3,0,0,0,0,1,2,.263,.360,.375,CJ Alexander3B,2,0,1,0,0,0,1,.125,.125,.125
T. WallsSS,2,1,0,0,0,2,0,.160,.283,.220,aN. LoftinPH-3B,1,0,0,0,0,0,0,.205,.316,.259
team,35,5,9,4,1,6,8,,,,K. IsbelCF,3,0,0,0,0,0,1,.233,.277,.383
,,,,,,,,,,,team,32,1,6,1,1,0,6,,,
B. Turang2B,4,1,1,1,0,1,0,.287,.351,.412,E. TovarSS,5,0,0,0,0,0,2,.276,.304,.459
W. ContrerasC,4,0,0,0,0,1,1,.292,.353,.445,B. Rodgers2B,5,0,1,0,0,0,1,.282,.325,.407
C. YelichDH,5,0,3,0,0,0,1,.329,.403,.500,R. McMahon3B,4,1,1,0,0,1,2,.269,.347,.456
W. AdamesSS,3,1,2,1,0,1,0,.239,.328,.413,E. DiazDH,5,0,2,0,0,0,1,.307,.352,.439
G. MitchellCF-RF,4,0,1,0,0,1,0,.333,.500,.333,B. DoyleCF,3,1,2,2,1,1,0,.264,.328,.424
J. Bauers1B,3,0,0,0,0,0,1,.217,.315,.400,J. StallingsC,2,1,1,0,0,2,0,.278,.370,.452
