gameId,away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
401695618,K. Marte2B,5,1,1,0,0,0,1,.268,.381,.537,S. OhtaniDH,4,1,1,1,1,0,0,.312,.406,.672
401695618,C. CarrollRF,4,1,1,0,0,1,2,.279,.353,.592,M. BettsSS,4,2,2,2,2,0,0,.263,.350,.444
401695618,L. Gurriel Jr.LF,4,2,1,2,1,1,0,.227,.271,.442,F. Freeman1B,4,1,1,0,0,0,0,.368,.426,.662
401695618,E. Suarez3B,5,0,1,1,0,0,2,.215,.307,.512,W. SmithC,3,0,1,0,0,1,0,.339,.450,.504
401695618,J. Naylor1B,5,1,1,1,0,0,0,.299,.367,.452,T. HernándezRF,4,1,0,1,0,0,1,.306,.324,.582
401695618,G. MorenoC,4,1,1,2,1,0,0,.264,.331,.364,M. Muncy3B,3,0,0,0,0,0,0,.205,.326,.336
401695618,T. TawaCF,4,1,2,0,0,0,0,.241,.323,.458,M. ConfortoLF,3,0,0,0,0,1,0,.168,.304,.273
401695618,A. ThomasCF,0,0,0,0,0,0,0,.276,.323,.390,T. Edman2B,4,0,1,1,0,0,0,.244,.285,.496
401695618,P. SmithDH,4,1,2,0,0,0,0,.306,.425,.504,H. KimCF,4,0,0,0,0,0,1,.400,.432,.514
401695618,G. PerdomoSS,2,1,1,3,1,1,0,.302,.403,.488,team,33,5,6,5,3,2,2,,,
401695618,team,37,9,11,9,3,3,5,,,,,,,,,,,,,,
401570879,I. Kiner-Falefa3B,5,0,0,0,0,0,3,.269,.306,.376,J. DominguezLF,4,0,1,0,0,1,1,.189,.317,.321
401570879,B. ReynoldsDH,4,0,1,0,0,0,0,.276,.344,.449,J. SotoRF,3,0,1,1,0,2,1,.288,.419,.569
401570879,O. CruzCF,4,0,0,0,0,0,3,.260,.323,.452,A. JudgeCF,5,0,0,0,0,0,5,.322,.458,.701
401570879,N. GonzalesSS,4,1,1,1,1,0,0,.273,.312,.403,A. WellsC,3,1,0,0,0,2,0,.229,.321,.397
401570879,J. PalaciosRF,2,2,0,0,0,2,0,.219,.324,.328,G. StantonDH,4,0,0,0,0,0,1,.233,.298,.476
401570879,J. Triolo1B,4,1,1,2,1,0,2,.217,.299,.317,J. Chisholm Jr.3B,4,1,2,2,1,0,2,.256,.324,.436
401570879,Y. GrandalC,4,3,3,2,1,0,1,.228,.304,.400,A. Rizzo1B,2,0,1,0,0,0,0,.228,.301,.335
401570879,N. Yorke2B,4,1,1,2,1,0,2,.229,.263,.400,A. VolpeSS,1,0,0,0,0,0,0,.244,.292,.365
401570879,B. CookLF,4,1,1,2,1,0,1,.222,.222,.444,O. CabreraSS-1B,4,1,1,0,0,0,1,.247,.296,.365
401570879,team,35,9,8,9,5,2,12,,,,J. Berti2B,3,1,1,0,0,1,0,.286,.348,.333
401570879,,,,,,,,,,,,team,33,4,7,3,1,6,11,,,
401570870,M. Vargas3B,4,0,0,0,0,0,1,.106,.211,.174,P. MeadowsCF,3,0,0,0,0,0,2,.241,.305,.432
401570870,Z. DeLoachRF,3,1,0,0,0,1,0,.206,.286,.333,aJ. MalloyPH-LF,1,0,0,0,0,0,1,.203,.291,.366
401570870,A. BenintendiLF,4,2,2,2,1,0,1,.229,.289,.396,K. CarpenterRF,2,0,0,0,0,1,1,.286,.347,.583
401570870,A. Vaughn1B,4,0,1,1,0,0,0,.246,.298,.404,A. IbanezSS,1,0,0,0,0,0,0,.242,.296,.359
401570870,L. Sosa2B,4,0,1,0,0,0,0,.248,.276,.346,W. PerezLF-CF,3,0,1,0,0,1,1,.239,.298,.382
401570870,B. RamosDH,3,1,1,1,1,0,1,.189,.235,.326,R. GreeneDH,4,0,0,0,0,0,1,.263,.349,.481
401570870,D. FletcherCF,4,0,0,0,0,0,0,.205,.253,.256,C. Keith2B,4,0,1,0,0,0,1,.261,.310,.381
401570870,C. RobinsonC,3,0,0,0,0,1,1,.129,.197,.129,S. Torkelson1B,3,0,0,0,0,0,2,.218,.290,.374
401570870,J. AmayaSS,4,0,0,0,0,0,2,.177,.227,.194,J. Jung3B,2,0,0,0,0,1,0,.241,.355,.304
401570870,team,33,4,5,4,2,2,6,,,,Z. McKinstrySS-RF,3,0,0,0,0,0,0,.216,.278,.338
401570870,,,,,,,,,,,,D. DinglerC,3,0,1,0,0,0,2,.167,.195,.310
401570870,,,,,,,,,,,,team,29,0,3,0,0,3,11,,,
401570871,J. India2B,3,0,0,0,0,1,0,.247,.356,.392,I. HappLF,5,0,1,0,0,0,0,.244,.342,.444
401570871,E. De La CruzSS,4,0,0,0,0,0,1,.259,.340,.470,D. SwansonSS,3,1,1,0,0,1,0,.242,.312,.390
401570871,T. StephensonC,4,0,1,0,0,0,1,.258,.337,.445,C. BellingerRF-1B,3,0,1,0,0,1,0,.266,.325,.426
401570871,S. SteerLF,3,0,0,0,0,1,1,.227,.321,.406,S. SuzukiDH,2,1,2,0,0,2,0,.283,.366,.484
401570871,T. FriedlCF,3,0,1,0,0,0,0,.226,.311,.384,M. Busch1B,3,0,0,0,0,0,1,.248,.331,.440
401570871,T. France1B,3,0,0,0,0,0,0,.257,.298,.400,aI. ParedesPH-3B,1,1,1,1,0,0,0,.227,.327,.313
401570871,J. FraleyRF,3,0,0,0,0,0,0,.272,.325,.382,N. Hoerner2B,4,0,0,0,0,0,0,.274,.336,.374
401570871,S. Espinal3B,3,0,0,0,0,0,0,.246,.295,.356,P. Crow-ArmstrongCF,4,0,1,1,0,0,0,.238,.288,.388
401570871,N. MarteDH,3,0,1,0,0,0,0,.213,.252,.307,P. Wisdom3B,3,0,0,0,0,0,0,.171,.237,.392
401570871,team,29,0,3,0,0,2,3,,,,bM. TauchmanPH-RF,0,0,0,1,0,1,0,.249,.358,.367
401570871,,,,,,,,,,,,M. AmayaC,4,0,1,0,0,0,0,.232,.288,.357
401570871,,,,,,,,,,,,team,32,3,8,3,0,5,1,,,
401570875,X. EdwardsSS,4,1,1,0,0,1,1,.326,.396,.421,G. SpringerRF,3,0,1,0,0,1,0,.220,.303,.371
401570875,C. Norby3B,5,0,0,0,0,0,2,.254,.323,.458,N. LukesLF,4,1,1,1,1,0,1,.303,.371,.447
401570875,J. Burger1B,5,1,1,0,0,0,0,.250,.301,.461,V. Guerrero Jr.DH,4,0,0,0,0,0,1,.324,.395,.546
401570875,J. SánchezRF,3,3,2,0,0,1,0,.254,.316,.421,S. Horwitz1B,4,0,1,0,0,0,0,.268,.358,.437
401570875,J. BrideDH,4,0,1,1,0,0,1,.271,.351,.459,A. KirkC,3,0,0,0,0,1,0,.253,.319,.359
401570875,G. ConineLF,4,2,3,1,0,0,0,.282,.341,.474,E. ClementSS,3,0,1,0,0,0,0,.265,.287,.412
401570875,D. MyersCF,4,1,2,5,1,0,2,.264,.337,.451,A. Barger3B,3,0,0,0,0,0,0,.198,.251,.353
401570875,J. Sanoja2B,4,0,0,0,0,0,1,.229,.250,.286,D. Schneider2B,3,0,0,0,0,0,1,.193,.282,.345
401570875,J. PeredaC,4,0,1,1,0,0,1,.231,.250,.231,J. LoperfidoCF,3,0,0,0,0,0,2,.203,.243,.353
401570875,team,37,8,11,8,1,2,8,,,,team,30,1,4,1,1,2,5,,,
401570878,K. SchwarberDH,3,0,0,0,0,1,1,.248,.365,.487,L. Garcia Jr.2B,4,1,1,0,0,0,2,.281,.317,.438
401570878,T. TurnerSS,4,1,1,2,1,0,2,.293,.336,.469,J. WoodLF,4,2,2,2,1,0,2,.269,.360,.434
401570878,B. Harper1B,4,0,1,0,0,0,3,.285,.373,.525,K. RuizC,4,1,2,1,0,0,1,.229,.260,.359
401570878,N. CastellanosRF,4,1,1,0,0,0,2,.254,.310,.431,J. Tena3B,4,0,0,0,0,0,3,.281,.313,.373
401570878,A. Bohm3B,4,0,0,1,0,0,0,.280,.332,.449,J. YepezDH,4,0,0,0,0,0,4,.285,.337,.434
401570878,J.T. RealmutoC,3,0,1,0,0,1,2,.266,.322,.429,D. CrewsRF,3,1,2,0,0,1,0,.198,.266,.319
401570878,B. Stott2B,4,0,0,0,0,0,1,.245,.316,.357,J. Gallo1B,3,1,1,3,1,1,0,.164,.280,.341
401570878,W. WilsonLF-CF,3,0,1,0,0,0,1,.282,.347,.482,J. YoungCF,3,0,0,0,0,1,1,.256,.315,.331
401570878,B. MarshCF,2,0,0,0,0,0,0,.251,.331,.423,N. NunezSS,3,0,1,0,0,0,1,.241,.371,.259
401570878,aE. SosaPH,0,1,0,0,0,0,0,.257,.313,.424,team,32,6,9,6,2,3,14,,,
401570878,K. ClemensLF,0,0,0,0,0,0,0,.214,.241,.446,,,,,,,,,,,
401570878,team,31,3,5,3,1,2,12,,,,,,,,,,,,,,
401570881,M. WinnSS,5,2,1,0,0,1,0,.267,.314,.416,M. CanhaLF,1,1,1,0,0,0,0,.288,.376,.329
401570881,A. BurlesonDH,4,1,2,0,0,1,0,.267,.312,.420,aM. YastrzemskiPH-RF,3,0,0,0,0,0,0,.232,.304,.439
401570881,P. Goldschmidt1B,4,1,3,2,0,0,0,.246,.302,.415,H. RamosRF-LF,4,1,1,0,0,0,0,.269,.322,.469
401570881,B. Donovan2B,5,1,3,2,0,0,0,.276,.338,.411,L. Wade Jr.1B,4,0,1,1,0,0,1,.261,.382,.383
401570881,L. NootbaarLF,3,0,0,0,0,2,1,.247,.345,.422,M. Chapman3B,4,2,2,0,0,0,1,.247,.328,.463
401570881,J. WalkerRF,5,0,1,1,0,0,2,.200,.253,.369,J. EncarnacionDH,4,0,1,0,0,0,0,.257,.287,.440
401570881,T. Saggese3B,5,0,1,0,0,0,1,.217,.250,.326,P. BaileyC,3,1,1,2,0,0,1,.234,.298,.339
401570881,P. PagesC,4,0,2,0,0,1,1,.241,.282,.382,T. FitzgeraldSS,3,1,1,0,0,1,1,.284,.338,.503
401570881,M. SianiCF,3,0,0,0,0,1,3,.230,.284,.287,C. Schmitt2B,2,0,1,1,0,0,0,.240,.273,.462
401570881,aM. CarpenterPH,1,0,0,0,0,0,1,.228,.310,.368,bB. WiselyPH-2B,1,0,1,0,0,1,0,.237,.277,.345
401570881,team,39,5,13,5,0,6,9,,,,G. McCrayCF,4,0,1,0,0,0,3,.198,.236,.380
401570881,,,,,,,,,,,,team,33,6,11,4,0,2,7,,,
