away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
Tim Anderson2B-SS,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,A. SlaterRF,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.333,0.333,1.333
L. Rengifo3B-2B,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,aN. MatonPH,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
L. O'HoppeC,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.5,0.5,1.25,T. JankowskiPR-RF,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. AdellCF,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.333,0.333,0.333,L. Sosa2B,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.25,0.25,1.0
bK. ParisPH,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,K. LeeC,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.333,0.5,0.333
K. NewmanSS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J. AmayaSS,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25
aY. MoncadaPH-3B,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,M. TaylorLF,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333
team,32.0,1.0,5.0,1.0,1.0,2.0,10.0,,,,team,33.0,8.0,9.0,8.0,3.0,2.0,6.0,,,
S. KwanLF,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.5,0.5,0.75,J. India3B-LF,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Ramirez3B,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,B. Witt Jr.SS,5.0,1.0,1.0,0.0,0.0,0.0,3.0,0.2,0.2,0.2
L. ThomasCF,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,V. PasquantinoDH,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.5,0.5,1.5
C. Santana1B,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.25,0.4,0.25,F. FerminPR-DH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K. ManzardoDH,4.0,2.0,3.0,4.0,1.0,1.0,1.0,0.75,0.8,2.25,S. PerezC,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.25,0.25,0.25
J. NoelRF,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.25,0.2,0.25,M. Massey2B,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.333,0.25,0.333
B. NaylorC,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,H. RenfroeRF,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G. Arias2B,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.5,M. MelendezLF,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B. RocchioSS,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,aM. GarciaPH-3B,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5
team,36.0,7.0,10.0,7.0,1.0,3.0,5.0,,,,C. Biggio1B,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.0
,,,,,,,,,,,D. BlancoPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,M. Canha1B,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,,,,,,,,,,,K. IsbelCF,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.333,0.333,0.667
,,,,,,,,,,,team,35.0,4.0,7.0,4.0,1.0,1.0,10.0,,,
F. LindorSS,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,J. AltuveLF,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.25,0.25,0.25
J. SotoRF,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.333,0.6,0.333,I. Paredes3B,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0
P. Alonso1B,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.5,0.75,0.5,Y. AlvarezDH,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0
M. Vientos3B,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,C. Walker1B,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25
B. NimmoLF,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.25,0.25,0.25,Y. DiazC,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.333,0.5,0.333
S. MarteDH,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.333,0.5,0.333,J. PenaSS,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.333,0.5,0.333
T. TaylorCF,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,C. SmithRF,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333
L. Acuna2B,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.0,C. McCormickRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L. TorrensC,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,B. Rodgers2B,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.25,0.0
aJ. WinkerPH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J. MeyersCF,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5
