,player,1_RBI_count_over,2_RBI_count_over,3_RBI_count_over,4_RBI_count_over,games_played_over,1_RBI_rate_over,2_RBI_rate_over,3_RBI_rate_over,4_RBI_rate_over,1_RBI_count_under,2_RBI_count_under,3_RBI_count_under,4_RBI_count_under,games_played_under,1_RBI_rate_under,2_RBI_rate_under,3_RBI_rate_under,4_RBI_rate_under
33,Ceddanne Rafaela,12,8,3,1,44,0.2727272727272727,0.18181818181818182,0.06818181818181818,0.022727272727272728,16,7,1,1,63,0.25396825396825395,0.1111111111111111,0.015873015873015872,0.015873015873015872
34,Cedric Mullins,16,6,4,2,47,0.3404255319148936,0.1276595744680851,0.0851063829787234,0.0425531914893617,11,4,1,1,53,0.20754716981132076,0.07547169811320754,0.018867924528301886,0.018867924528301886
35,Christopher Morel,11,3,2,0,40,0.275,0.075,0.05,0.0,9,1,0,0,60,0.15,0.016666666666666666,0.0,0.0
36,Colton Cowser,11,6,3,1,36,0.3055555555555556,0.16666666666666666,0.08333333333333333,0.027777777777777776,9,3,2,0,37,0.24324324324324326,0.08108108108108109,0.05405405405405406,0.0
37,Corey Seager,16,6,2,1,41,0.3902439024390244,0.14634146341463414,0.04878048780487805,0.024390243902439025,13,8,4,0,36,0.3611111111111111,0.2222222222222222,0.1111111111111111,0.0
38,Daniel Schneemann,10,2,1,1,34,0.29411764705882354,0.058823529411764705,0.029411764705882353,0.029411764705882353,8,0,0,0,47,0.1702127659574468,0.0,0.0,0.0
39,Danny Jansen,7,0,0,0,32,0.21875,0.0,0.0,0.0,5,1,1,1,39,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.02564102564102564
40,Dansby Swanson,22,7,4,1,67,0.3283582089552239,0.1044776119402985,0.05970149253731343,0.014925373134328358,12,5,2,1,44,0.2727272727272727,0.11363636363636363,0.045454545454545456,0.022727272727272728
41,Daulton Varsho,10,6,3,1,31,0.3225806451612903,0.1935483870967742,0.0967741935483871,0.03225806451612903,9,2,1,1,40,0.225,0.05,0.025,0.025
42,Davis Schneider,5,3,0,0,33,0.15151515151515152,0.09090909090909091,0.0,0.0,3,1,0,0,31,0.0967741935483871,0.03225806451612903,0.0,0.0
43,Donovan Solano,8,3,1,1,44,0.18181818181818182,0.06818181818181818,0.022727272727272728,0.022727272727272728,4,1,1,0,34,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.0
44,Dylan Crews,6,2,1,1,32,0.1875,0.0625,0.03125,0.03125,6,2,0,0,39,0.15384615384615385,0.05128205128205128,0.0,0.0
45,Dylan Moore,12,2,1,0,43,0.27906976744186046,0.046511627906976744,0.023255813953488372,0.0,6,2,1,1,46,0.13043478260869565,0.043478260869565216,0.021739130434782608,0.021739130434782608
46,Elias Diaz,7,3,0,0,38,0.18421052631578946,0.07894736842105263,0.0,0.0,5,2,0,0,33,0.15151515151515152,0.06060606060606061,0.0,0.0
47,Elly De La Cruz,20,10,6,3,50,0.4,0.2,0.12,0.06,14,7,2,2,64,0.21875,0.109375,0.03125,0.03125
48,Emmanuel Rivera,8,4,2,1,32,0.25,0.125,0.0625,0.03125,6,2,0,0,36,0.16666666666666666,0.05555555555555555,0.0,0.0
49,Ernie Clement,19,7,3,1,57,0.3333333333333333,0.12280701754385964,0.05263157894736842,0.017543859649122806,12,1,1,0,57,0.21052631578947367,0.017543859649122806,0.017543859649122806,0.0
50,Francisco Lindor,24,8,3,0,57,0.42105263157894735,0.14035087719298245,0.05263157894736842,0.0,15,7,4,3,46,0.32608695652173914,0.15217391304347827,0.08695652173913043,0.06521739130434782
51,Freddie Freeman,21,11,6,3,45,0.4666666666666667,0.24444444444444444,0.13333333333333333,0.06666666666666667,15,9,3,1,49,0.30612244897959184,0.1836734693877551,0.061224489795918366,0.02040816326530612
52,Freddy Fermin,11,2,1,0,48,0.22916666666666666,0.041666666666666664,0.020833333333333332,0.0,8,1,0,0,37,0.21621621621621623,0.02702702702702703,0.0,0.0
53,Garrett Mitchell,10,1,1,0,46,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.0,6,0,0,0,42,0.14285714285714285,0.0,0.0,0.0
54,Gavin Sheets,11,5,3,2,44,0.25,0.11363636363636363,0.06818181818181818,0.045454545454545456,10,2,1,1,51,0.19607843137254902,0.0392156862745098,0.0196078431372549,0.0196078431372549
55,George Springer,12,6,4,0,48,0.25,0.125,0.08333333333333333,0.0,11,6,4,0,57,0.19298245614035087,0.10526315789473684,0.07017543859649122,0.0
56,Geraldo Perdomo,16,6,1,0,48,0.3333333333333333,0.125,0.020833333333333332,0.0,21,7,3,1,64,0.328125,0.109375,0.046875,0.015625
57,Gleyber Torres,22,9,5,1,54,0.4074074074074074,0.16666666666666666,0.09259259259259259,0.018518518518518517,11,2,1,0,45,0.24444444444444444,0.044444444444444446,0.022222222222222223,0.0
58,Gunnar Henderson,12,6,1,0,38,0.3157894736842105,0.15789473684210525,0.02631578947368421,0.0,14,7,0,0,63,0.2222222222222222,0.1111111111111111,0.0,0.0
59,Harrison Bader,15,6,3,0,54,0.2777777777777778,0.1111111111111111,0.05555555555555555,0.0,9,2,1,0,43,0.20930232558139536,0.046511627906976744,0.023255813953488372,0.0
60,Heliot Ramos,14,5,1,0,42,0.3333333333333333,0.11904761904761904,0.023809523809523808,0.0,21,8,1,1,67,0.31343283582089554,0.11940298507462686,0.014925373134328358,0.014925373134328358
61,Ian Happ,20,9,2,1,59,0.3389830508474576,0.15254237288135594,0.03389830508474576,0.01694915254237288,10,5,4,1,43,0.23255813953488372,0.11627906976744186,0.09302325581395349,0.023255813953488372
62,Isaac Paredes,14,5,3,2,46,0.30434782608695654,0.10869565217391304,0.06521739130434782,0.043478260869565216,17,6,1,0,61,0.2786885245901639,0.09836065573770492,0.01639344262295082,0.0
63,JJ Bleday,16,6,2,1,54,0.2962962962962963,0.1111111111111111,0.037037037037037035,0.018518518518518517,17,4,2,1,60,0.2833333333333333,0.06666666666666667,0.03333333333333333,0.016666666666666666
64,Jackson Chourio,22,12,4,3,55,0.4,0.21818181818181817,0.07272727272727272,0.05454545454545454,13,6,3,2,52,0.25,0.11538461538461539,0.057692307692307696,0.038461538461538464
65,Jackson Holliday,11,4,2,2,40,0.275,0.1,0.05,0.05,10,3,1,0,39,0.2564102564102564,0.07692307692307693,0.02564102564102564,0.0
66,Jackson Merrill,25,14,5,1,50,0.5,0.28,0.1,0.02,10,5,1,1,36,0.2777777777777778,0.1388888888888889,0.027777777777777776,0.027777777777777776
67,Jacob Young,11,2,1,0,58,0.1896551724137931,0.034482758620689655,0.017241379310344827,0.0,8,1,0,0,58,0.13793103448275862,0.017241379310344827,0.0,0.0
68,Jake Fraley,6,2,0,0,34,0.17647058823529413,0.058823529411764705,0.0,0.0,7,4,3,1,44,0.1590909090909091,0.09090909090909091,0.06818181818181818,0.022727272727272728
69,Jake McCarthy,13,4,0,0,34,0.38235294117647056,0.11764705882352941,0.0,0.0,11,6,3,2,44,0.25,0.13636363636363635,0.06818181818181818,0.045454545454545456
70,Jake Meyers,15,5,2,1,50,0.3,0.1,0.04,0.02,13,2,0,0,58,0.22413793103448276,0.034482758620689655,0.0,0.0
71,James Wood,22,13,4,3,56,0.39285714285714285,0.23214285714285715,0.07142857142857142,0.05357142857142857,18,2,1,0,66,0.2727272727272727,0.030303030303030304,0.015151515151515152,0.0
72,Jarred Kelenic,9,3,1,0,39,0.23076923076923078,0.07692307692307693,0.02564102564102564,0.0,5,1,1,0,42,0.11904761904761904,0.023809523809523808,0.023809523809523808,0.0
