away_hitters,away_AB,away_R,away_H,away_RBI,away_HR,away_BB,away_K,away_AVG,away_OBP,away_SLG,home_hitters,home_AB,home_R,home_H,home_RBI,home_HR,home_BB,home_K,home_AVG,home_OBP,home_SLG
B. NaylorC,4,0,1,0,0,0,1,.250,.250,.250,H. RenfroeRF,4,0,0,0,0,0,1,.000,.000,.000
G. Arias2B,4,1,1,0,0,0,1,.250,.250,.500,M. MelendezLF,2,0,0,0,0,0,1,.000,.000,.000
B. RocchioSS,3,1,0,0,0,1,0,.000,.250,.000,aM. GarciaPH-3B,2,0,1,0,0,0,1,.500,.500,.500
team,36,7,10,7,1,3,5,,,,C. Biggio1B,2,0,0,0,0,1,0,.000,.333,.000
,,,,,,,,,,,D. BlancoPR,0,0,0,0,0,0,0,.000,.000,.000
,,,,,,,,,,,M. Canha1B,1,0,0,0,0,0,1,.000,.000,.000
,,,,,,,,,,,K. IsbelCF,3,1,1,0,0,0,1,.333,.333,.667
,,,,,,,,,,,team,35,4,7,4,1,1,10,,,
F. LindorSS,4,0,0,1,0,0,2,.000,.000,.000,J. AltuveLF,4,0,1,0,0,0,3,.250,.250,.250
J. SotoRF,3,0,1,0,0,2,1,.333,.600,.333,I. Paredes3B,3,1,0,0,0,1,1,.000,.250,.000
P. Alonso1B,2,0,1,0,0,2,0,.500,.750,.500,Y. AlvarezDH,2,0,0,0,0,2,1,.000,.500,.000
M. Vientos3B,3,0,0,0,0,1,0,.000,.250,.000,C. Walker1B,4,1,1,0,0,0,0,.250,.250,.250
B. NimmoLF,4,0,1,0,0,0,1,.250,.250,.250,Y. DiazC,3,0,1,1,0,1,0,.333,.500,.333
S. MarteDH,3,1,1,0,0,0,1,.333,.500,.333,J. PenaSS,3,1,1,0,0,0,0,.333,.500,.333
T. TaylorCF,4,0,1,0,0,0,0,.250,.250,.250,C. SmithRF,3,0,1,0,0,0,0,.333,.333,.333
L. Acuna2B,3,0,0,0,0,1,1,.000,.250,.000,C. McCormickRF,0,0,0,0,0,0,0,.000,.000,.000
L. TorrensC,2,0,1,0,0,0,0,.500,.500,1.000,B. Rodgers2B,3,0,0,0,0,1,2,.000,.250,.000
aJ. WinkerPH,1,0,0,0,0,0,0,.000,.000,.000,J. MeyersCF,4,0,2,1,0,0,0,.500,.500,.500
H. SengerC,1,0,0,0,0,0,1,.000,.000,.000,team,29,3,7,2,0,5,7,,,
team,30,1,6,1,0,6,7,,,,,,,,,,,,,,
J. ProfarLF,5,1,1,0,0,0,3,.200,.200,.200,F. Tatis Jr.RF,4,2,3,0,0,0,1,.750,.750,.750
A. Riley3B,5,1,1,1,1,0,1,.200,.200,.800,L. Arraez1B,2,0,0,1,0,0,0,.000,.000,.000
M. Olson1B,2,0,1,0,0,3,0,.500,.800,.500,M. Machado3B,3,3,2,1,0,1,1,.667,.750,1.333
M. OzunaDH,3,1,1,0,0,2,1,.333,.600,.333,X. BogaertsSS,3,0,1,0,0,1,1,.333,.500,.333
O. Albies2B,5,1,1,3,1,0,0,.200,.200,.800,J. MerrillCF,3,0,1,4,0,0,0,.333,.250,.333
M. Harris IICF,4,0,1,0,0,0,1,.250,.250,.250,Y. GurrielDH,4,0,0,0,0,0,1,.000,.000,.000
D. BaldwinC,3,0,0,0,0,1,1,.000,.250,.000,J. Cronenworth2B,4,0,0,0,0,0,2,.000,.000,.000
O. ArciaSS,4,0,1,0,0,0,2,.250,.250,.250,B. LockridgeLF,2,0,0,0,0,0,1,.000,.000,.000
J. KelenicRF,4,0,0,0,0,0,1,.000,.000,.000,aG. SheetsPH,1,1,1,1,1,0,0,1.000,1.000,4.000
team,35,4,7,4,2,6,10,,,,M. MaldonadoC,1,0,0,0,0,0,1,.000,.000,.000
,,,,,,,,,,,E. DiazC,3,0,2,0,0,0,1,.667,.667,.667
,,,,,,,,,,,J. HeywardPR-LF,1,1,0,0,0,0,0,.000,.000,.000
,,,,,,,,,,,team,31,7,10,7,1,2,9,,,
M. WallnerRF,4,0,0,0,0,1,2,.000,.200,.000,L. NootbaarLF,4,2,2,2,1,0,0,.500,.500,1.250
C. CorreaSS,4,0,0,0,0,0,1,.000,.000,.000,W. Contreras1B,4,0,0,0,0,0,2,.000,.000,.000
B. BuxtonCF,4,0,0,0,0,0,1,.000,.000,.000,B. Donovan2B,4,1,2,1,0,0,1,.500,.500,.500
T. LarnachDH,3,1,2,0,0,1,1,.667,.750,.667,N. Arenado3B,4,1,2,1,1,0,0,.500,.500,1.250
D. Keirsey Jr.PR-DH,0,0,0,0,0,0,0,.000,.000,.000,A. BurlesonDH,4,0,1,0,0,0,0,.250,.250,.250
R. JeffersC,4,0,1,0,0,0,1,.250,.250,.250,I. HerreraC,3,0,2,1,0,1,0,.667,.750,1.000
T. France1B,4,0,1,0,0,0,1,.250,.250,.250,M. SianiPR-CF,0,0,0,0,0,0,0,.000,.000,.000
W. Castro2B,3,0,1,1,0,1,2,.333,.500,.667,J. WalkerRF,3,1,1,0,0,1,0,.333,.500,.333
J. Miranda3B,4,1,1,0,0,0,2,.250,.250,.250,P. PagesC,0,0,0,0,0,0,0,.000,.000,.000
H. BaderLF,4,1,2,2,1,0,0,.500,.500,1.500,V. Scott IICF-RF,4,0,0,0,0,0,1,.000,.000,.000
team,34,3,8,3,1,3,11,,,,M. WinnSS,3,0,0,0,0,0,1,.000,.000,.000
,,,,,,,,,,,team,33,5,10,5,2,2,5,,,
A. Ibanez3B,5,0,0,0,0,0,1,.000,.000,.000,S. OhtaniDH,4,2,2,1,1,0,0,.417,.500,1.000
G. Torres2B,5,1,2,0,0,0,0,.400,.400,.400,M. BettsSS,3,1,1,0,0,1,0,.333,.500,.333
R. GreeneLF-CF,5,0,1,0,0,0,3,.200,.200,.200,T. HernándezRF,4,1,1,3,1,0,1,.167,.231,.417
S. TorkelsonDH,1,2,1,1,1,4,0,1.000,1.000,4.000,F. Freeman1B,4,0,0,0,0,0,0,.000,.000,.000
M. MargotRF,3,0,2,1,0,0,1,.667,.500,.667,T. EdmanCF,4,1,1,1,1,0,1,.214,.214,.643
cT. SweeneyPH,1,0,0,0,0,0,1,.000,.000,.000,W. SmithC,3,0,1,0,0,0,1,.429,.667,.571
C. Keith1B,5,0,0,0,0,0,1,.000,.000,.000,M. Muncy3B,3,0,0,0,0,0,2,.100,.250,.200
J. BaezSS,2,0,0,0,0,0,0,.000,.000,.000,M. Rojas2B,3,0,0,0,0,0,0,.100,.182,.100
aZ. McKinstryPH-SS,1,1,1,0,0,1,0,1.000,1.000,3.000,A. PagesLF,3,0,1,0,0,0,1,.250,.455,.375
J. RogersC,3,0,1,0,0,1,1,.333,.500,.333,team,31,5,7,5,3,1,6,,,
R. KreidlerCF,2,0,1,0,0,0,1,.500,.500,.500,,,,,,,,,,,
bK. CarpenterPH-LF,1,0,0,1,0,0,0,.000,.000,.000,,,,,,,,,,,
team,34,4,9,3,1,6,9,,,,,,,,,,,,,,
I. HappLF,5,2,2,3,1,1,1,.333,.467,.667,K. Marte2B,5,2,2,0,0,0,1,.400,.400,.600
K. TuckerRF,5,0,1,1,0,1,2,.154,.267,.231,C. CarrollRF,3,0,1,0,0,1,0,.333,.600,.667
S. SuzukiDH,5,1,1,0,0,0,2,.077,.143,.077,L. Gurriel Jr.LF,5,0,0,1,0,0,0,.000,.000,.000
M. Busch1B,4,1,2,0,0,1,1,.200,.333,.200,J. Naylor1B,5,0,1,1,0,0,0,.200,.200,.200
D. SwansonSS,5,0,0,0,0,0,2,.182,.250,.273,G. MorenoC,3,2,2,0,0,1,0,.667,.750,.667
N. Hoerner2B,4,1,2,1,0,1,0,.500,.600,.500,E. Suarez3B,3,2,1,1,1,0,1,.333,.500,1.333
P. Crow-ArmstrongCF,4,2,1,0,0,1,0,.091,.167,.091,R. GrichukDH,2,0,1,0,0,0,0,.500,.500,1.000
M. Shaw3B,4,3,1,0,0,1,1,.154,.214,.154,aP. SmithPH-DH,1,0,0,0,0,1,1,.000,.500,.000
M. AmayaC,5,0,2,5,0,0,1,.375,.375,.750,J. McCarthyCF,3,0,0,1,0,0,1,.000,.000,.000
team,41,10,12,10,1,6,10,,,,G. PerdomoSS,3,0,1,2,0,0,0,.333,.250,.333
,,,,,,,,,,,team,33,6,9,6,1,3,4,,,
L. ButlerRF,3,0,0,0,0,1,0,.000,.250,.000,V. RoblesRF,3,0,0,1,0,0,0,.000,.000,.000
B. RookerDH,4,0,0,0,0,0,4,.000,.000,.000,J. RodriguezCF,3,0,0,0,0,1,1,.000,.250,.000
J. BledayCF,4,0,0,0,0,0,0,.000,.000,.000,C. RaleighC,3,0,0,0,0,1,1,.000,.250,.000
S. LangeliersC,3,0,0,0,0,0,2,.000,.000,.000,R. ArozarenaLF,3,1,1,1,1,1,1,.333,.500,1.333
M. AndujarLF,3,0,0,0,0,0,0,.000,.000,.000,L. RaleyDH,3,1,1,0,0,1,1,.333,.500,.333
T. Soderstrom1B,3,2,2,2,2,0,1,.667,.667,2.667,J. Polanco3B,3,1,3,2,1,0,0,1.000,1.000,2.000
G. Urshela3B,3,0,0,0,0,0,1,.000,.000,.000,R. Tellez1B,3,0,0,0,0,0,2,.000,.250,.000
M. Muncy2B,3,0,0,0,0,0,2,.000,.000,.000,R. Bliss2B,2,0,0,0,0,2,0,.000,.500,.000
