,player,1_hits_count_over,2_hits_count_over,3_hits_count_over,4_hits_count_over,games_played_over,1_hits_rate_over,2_hits_rate_over,3_hits_rate_over,4_hits_rate_over,1_hits_count_under,2_hits_count_under,3_hits_count_under,4_hits_count_under,games_played_under,1_hits_rate_under,2_hits_rate_under,3_hits_rate_under,4_hits_rate_under
151,Tyler Fitzgerald,24,8,3,0,32,0.75,0.25,0.09375,0.0,31,13,4,0,50,0.62,0.26,0.08,0.0
152,Vinnie Pasquantino,35,18,5,0,49,0.7142857142857143,0.3673469387755102,0.10204081632653061,0.0,24,11,2,1,43,0.5581395348837209,0.2558139534883721,0.046511627906976744,0.023255813953488372
153,Vladimir Guerrero Jr.,47,24,9,1,62,0.7580645161290323,0.3870967741935484,0.14516129032258066,0.016129032258064516,38,15,7,1,54,0.7037037037037037,0.2777777777777778,0.12962962962962962,0.018518518518518517
154,Will Smith,23,15,1,0,40,0.575,0.375,0.025,0.0,27,11,3,0,47,0.574468085106383,0.23404255319148937,0.06382978723404255,0.0
155,Willi Castro,23,7,1,0,38,0.6052631578947368,0.18421052631578946,0.02631578947368421,0.0,34,8,3,0,61,0.5573770491803278,0.13114754098360656,0.04918032786885246,0.0
156,Wilyer Abreu,29,11,4,0,53,0.5471698113207547,0.20754716981132076,0.07547169811320754,0.0,29,9,4,0,58,0.5,0.15517241379310345,0.06896551724137931,0.0
157,Wyatt Langford,40,12,5,0,57,0.7017543859649122,0.21052631578947367,0.08771929824561403,0.0,26,8,4,1,46,0.5652173913043478,0.17391304347826086,0.08695652173913043,0.021739130434782608
158,Xavier Edwards,32,16,2,1,40,0.8,0.4,0.05,0.025,44,19,2,2,59,0.7457627118644068,0.3220338983050847,0.03389830508474576,0.03389830508474576
159,Yandy Diaz,71,36,15,1,93,0.7634408602150538,0.3870967741935484,0.16129032258064516,0.010752688172043012,72,25,4,0,111,0.6486486486486487,0.22522522522522523,0.036036036036036036,0.0
160,Yordan Alvarez,35,16,5,2,49,0.7142857142857143,0.32653061224489793,0.10204081632653061,0.04081632653061224,24,9,1,1,42,0.5714285714285714,0.21428571428571427,0.023809523809523808,0.023809523809523808
161,Zach McKinstry,22,7,1,0,40,0.55,0.175,0.025,0.0,31,12,2,0,63,0.49206349206349204,0.19047619047619047,0.031746031746031744,0.0
