,player,1_hits_count,2_hits_count,3_hits_count,4_hits_count,games_played
516,Phil Maton,0,0,0,0,1
517,Rafael Devers,30,14,3,1,44
518,Rafael Marchan,1,0,0,0,3
519,Ramon Laureano,23,7,1,0,44
520,Ramon Urias,18,8,4,0,31
521,Randal Grichuk,14,4,1,0,31
522,Randy Arozarena,31,9,0,0,47
523,Rece Hinds,6,4,1,0,9
524,Reese McGuire,0,0,0,0,4
525,Rhylan Thomas,1,0,0,0,2
526,Rhys Hoskins,27,6,1,0,57
527,Richie Palacios,2,0,0,0,9
528,Riley Adams,8,2,0,0,16
529,Riley Greene,29,12,3,0,42
530,Rob Brantly,1,1,1,0,2
531,Rob Refsnyder,15,6,2,1,29
532,Robbie Grossman,9,2,0,0,20
533,Romy Gonzalez,20,7,1,0,33
534,Ronny Simon,3,0,0,0,7
535,Rowdy Tellez,18,4,1,0,41
536,Royce Lewis,14,4,0,0,24
537,Ryan Bliss,1,0,0,0,6
538,Ryan Helsley,0,0,0,0,1
539,Ryan Jeffers,23,11,1,0,37
540,Ryan Kreidler,4,0,0,0,16
541,Ryan McMahon,15,4,0,0,29
542,Ryan Mountcastle,24,8,2,0,36
543,Ryan Noda,0,0,0,0,1
544,Ryan O'Hearn,58,20,4,0,101
545,Ryan Pressly,0,0,0,0,1
546,Ryan Thompson,0,0,0,0,1
547,Ryan Vilade,2,1,0,0,6
548,Ryne Nelson,1,0,0,0,1
549,Sal Frelick,34,6,2,0,56
550,Salvador Perez,41,17,2,0,59
551,Sam Haggerty,1,0,0,0,1
552,Sam Hilliard,10,1,0,0,19
553,Sam Huff,2,1,0,0,6
554,Samad Taylor,1,0,0,0,2
555,Sandro Fabian,0,0,0,0,2
556,Santiago Espinal,23,10,3,0,36
557,Sean Bouchard,3,0,0,0,7
558,Sean Murphy,23,5,0,0,40
559,Seiya Suzuki,34,18,3,1,51
560,Seth Brown,17,6,3,0,44
561,Shay Whitcomb,5,1,0,0,12
562,Shea Langeliers,30,9,3,1,51
563,Shelby Miller,0,0,0,0,1
564,Shohei Ohtani,41,15,7,3,55
565,Spencer Horwitz,22,5,1,0,36
566,Spencer Steer,32,10,1,0,43
567,Spencer Torkelson,24,8,2,0,37
568,Starling Marte,15,5,0,0,34
569,Steven Kwan,27,13,2,1,39
570,Steward Berroa,4,1,0,0,12
571,Stone Garrett,1,1,1,0,2
572,Stuart Fairchild,3,0,0,0,16
573,TJ Friedl,26,11,5,2,41
574,Taylor Walls,19,3,1,0,41
575,Taylor Ward,60,16,3,0,101
576,Teoscar Hernandez,33,18,7,1,44
577,Thairo Estrada,6,0,0,0,10
578,Thomas Saggese,9,2,0,0,16
579,Tim Anderson,5,1,0,0,11
580,Tim Elko,1,0,0,0,2
581,Tim Tawa,4,0,0,0,10
582,Tomas Nido,5,1,0,0,13
583,Tommy Edman,15,5,1,1,28
584,Tommy Kahnle,0,0,0,0,1
585,Tommy Pham,22,6,2,0,38
586,Travis Blankenhorn,2,1,0,0,10
587,Travis Jankowski,3,1,0,0,33
588,Travis d'Arnaud,14,4,1,0,27
589,Trea Turner,24,9,4,0,34
590,Trent Grisham,19,7,3,0,32
591,Trevor Larnach,31,12,1,0,48
592,Trevor Story,22,10,4,0,32
593,Trey Cabbage,2,0,0,0,12
594,Trey Lipscomb,6,1,0,0,13
595,Trey Sweeney,22,7,4,1,33
596,Tristan Gray,0,0,0,0,1
597,Triston Casas,22,7,1,0,40
598,Tsung-Che Cheng,0,0,0,0,1
599,Tucker Barnhart,1,1,1,0,4
600,Ty France,31,11,4,0,52
601,Tyler Black,1,0,0,0,2
602,Tyler Callihan,0,0,0,0,2
603,Tyler Fitzgerald,24,8,3,0,32
604,Tyler Freeman,2,0,0,0,18
605,Tyler Gentry,0,0,0,0,1
606,Tyler Heineman,6,3,2,0,13
607,Tyler Locklear,1,0,0,0,5
608,Tyler Matzek,0,0,0,0,2
609,Tyler Nevin,5,0,0,0,17
610,Tyler O'Neill,17,8,5,1,34
611,Tyler Owens,0,0,0,0,1
612,Tyler Soderstrom,21,10,3,0,31
613,Tyler Stephenson,20,8,1,0,26
614,Tyler Tolbert,0,0,0,0,6
615,Tyler Wade,7,4,0,0,35
616,Vaughn Grissom,2,1,1,0,5
617,Victor Caratini,20,7,1,0,30
618,Victor Robles,21,14,5,0,35
619,Victor Scott II,12,3,0,0,18
620,Vidal Brujan,8,2,0,0,23
621,Vinnie Pasquantino,35,18,5,0,49
622,Vinny Capra,1,0,0,0,13
623,Vladimir Guerrero Jr.,47,24,9,1,62
624,Wenceel Perez,5,2,0,0,14
625,Weston Wilson,5,2,1,0,10
626,Whit Merrifield,13,2,1,1,25
627,Will Benson,8,1,0,0,19
628,Will Brennan,10,4,1,0,16
629,Will Smith,23,15,1,0,40
